number_of_months,month,President,count
1,jan,Bush,0
2,feb,Bush,1
3,mar,Bush,0
4,apr,Bush,0
5,may,Bush,0
6,june,Bush,2
7,july,Bush,1
8,aug,Bush,0
9,sep,Bush,0
10,oct,Bush,0
11,nov,Bush,0
12,dec,Bush,0
13,jan,Bush,0
14,feb,Bush,3
15,mar,Bush,3
16,apr,Bush,0
17,may,Bush,4
18,june,Bush,0
19,july,Bush,0
20,aug,Bush,0
21,sep,Bush,0
22,oct,Bush,0
23,nov,Bush,3
24,dec,Bush,0
25,jan,Bush,0
26,feb,Bush,0
27,mar,Bush,1
28,apr,Bush,1
29,may,Bush,2
30,june,Bush,3
31,july,Bush,5
32,aug,Bush,0
33,sep,Bush,0
34,oct,Bush,5
1,jan,Obama,0
2,feb,Obama,1
3,mar,Obama,0
4,apr,Obama,2
5,may,Obama,0
6,june,Obama,4
7,july,Obama,3
8,aug,Obama,1
9,sep,Obama,0
10,oct,Obama,1
11,nov,Obama,3
12,dec,Obama,1
13,jan,Obama,0
14,feb,Obama,0
15,mar,Obama,0
16,apr,Obama,1
17,may,Obama,0
18,june,Obama,0
19,july,Obama,0
20,aug,Obama,0
21,sep,Obama,0
22,oct,Obama,0
23,nov,Obama,2
24,dec,Obama,0
25,jan,Obama,0
26,feb,Obama,0
27,mar,Obama,3
28,apr,Obama,0
29,may,Obama,3
30,june,Obama,0
31,july,Obama,0
32,aug,Obama,0
33,sep,Obama,0
34,oct,Obama,0
1,jan,Trump,0
2,feb,Trump,0
3,mar,Trump,0
4,apr,Trump,0
5,may,Trump,5
6,june,Trump,0
7,july,Trump,2
8,aug,Trump,0
9,sep,Trump,0
10,oct,Trump,0
11,nov,Trump,3
12,dec,Trump,0
13,jan,Trump,0
14,feb,Trump,0
15,mar,Trump,0
16,apr,Trump,0
17,may,Trump,0
18,june,Trump,1
19,july,Trump,2
20,aug,Trump,0
21,sep,Trump,0
22,oct,Trump,0
23,nov,Trump,1
24,dec,Trump,0
25,jan,Trump,0
26,feb,Trump,1
27,mar,Trump,0
28,apr,Trump,0
29,may,Trump,1
30,june,Trump,6
31,july,Trump,0
32,aug,Trump,0
33,sep,Trump,0
34,oct,Trump,0
